Eco_Reserve,Location,Transect,Plot,Latitude,Longitude,Elevation,Slope,Aspect,Forest_Type,Harvest_History,Age_DBH,Live_Basal_Area,Live_TPH,Large_Live_TPH,Very_Large_Live_TPH,Standing_Dead_TPH,Large_Standing_Dead_TPH,Very_Large_Standing_Dead_TPH,DCWD_Volume,Large_DCWD_Volume
Deboullie,NA,9,1,46.97319295,-68.8575008,429,15,135,800,1,48,14.09960141,297.4183246,9.876194003,9.876194003,9.876194003,9.876194003,9.876194003,35.18967586,0
Deboullie,NA,9,2,46.97518072,-68.85673298,521,90,175,120,0,NA,34.85979285,475.8693194,118.9673298,0,59.48366492,0,0,36.49554274,0
Deboullie,NA,9,3,46.97724044,-68.85592545,532,37,48,120,0,NA,42.28801227,594.8366492,118.9673298,0,178.4509948,59.48366492,0,3.436491783,0
Deboullie,NA,9,4,46.97937255,-68.85544638,472,14,90,800,1,NA,25.61567744,416.3856545,0,0,0,0,0,236.9461084,201.0347693
Deboullie,NA,9,5,46.98143247,-68.85480968,430,30,44,800,1,NA,26.86772952,307.2945186,9.876194003,9.876194003,0,0,0,89.28005653,0
Deboullie,NA,6,1,46.97226319,-68.91913485,408,16,110,900,1,NA,22.69489221,416.3856545,59.48366492,0,59.48366492,0,0,14.33017074,0
Deboullie,NA,6,2,46.97024665,-68.91799418,394,3,140,120,1,NA,38.27168148,713.8039791,59.48366492,0,0,0,0,15.46421302,0
Deboullie,NA,6,3,46.9683563,-68.91716889,384,0,0,120,1,NA,6.624663616,178.4509948,0,0,59.48366492,0,0,43.05924204,0
Deboullie,NA,6,5,46.9642692,-68.91492745,360,2,110,960,1,NA,4.783960185,59.48366492,0,0,0,0,0,157.7693378,54.98386853
Deboullie,NA,6,4,46.96643867,-68.91594934,374,1,150,120,1,165,30.79679041,356.9019895,59.48366492,0,59.48366492,0,0,192.3060802,0
Duck Lake,NA,5,1,45.09318,-68.02495238,113,8,25,100,5,188,38.42356287,1427.607958,9.876194003,9.876194003,118.9673298,0,0,9.897096335,0
Duck Lake,NA,5,2,45.09519058,-68.02637969,116,16,190,100,1,65,48.97952986,832.7713089,0,0,59.48366492,0,0,0,0
Duck Lake,NA,5,3,45.09729592,-68.02730983,114,0,0,100,5,62,47.47519863,654.3203142,118.9673298,0,118.9673298,0,0,0,0
Duck Lake,NA,5,4,45.09929249,-68.02815291,113,5,12,120,0,125,25.82539616,475.8693194,0,0,356.9019895,0,0,48.43013505,0
Duck Lake,NA,5,5,45.10126529,-68.02937775,109,0,0,120,0,104,29.20757192,535.3529843,0,0,118.9673298,0,0,23.36814413,0
Duck Lake,NA,5,6,45.10333827,-68.03074081,107,0,0,100,5,60,33.8948251,892.2549739,59.48366492,0,297.4183246,0,0,14.91437434,0
Duck Lake,NA,8,1,45.09764039,-68.01498847,109,4,350,700,5,60,31.97871823,892.2549739,0,0,178.4509948,0,0,122.5796619,54.98386853
Duck Lake,NA,8,2,45.09558303,-68.01441381,111,5,320,500,5,55,21.99425695,475.8693194,59.48366492,0,178.4509948,0,0,8.591229458,0
Duck Lake,NA,8,3,45.09344081,-68.01443795,125,6,22,900,5,57,21.72403795,535.3529843,0,0,59.48366492,0,0,12.7150196,0
Duck Lake,NA,8,4,45.09128938,-68.01443683,141,8,280,120,0,88,33.93850676,713.8039791,59.48366492,0,0,0,0,12.95557402,0
Duck Lake,NA,8,5,45.08908251,-68.01427147,135,12,284,900,5,64,25.739995,832.7713089,0,0,178.4509948,0,0,4.158155058,0
Duck Lake,NA,8,6,45.08695314,-68.01369815,125,14,241,900,5,50,21.49553845,713.8039791,0,0,59.48366492,0,0,0,0
Duck Lake,NA,6,3,45.10845641,-68.0093109,98,5,285,120,0,60,30.97427346,475.8693194,9.876194003,9.876194003,118.9673298,0,0,98.90223352,0
Duck Lake,NA,6,4,45.10660499,-68.00757603,117,12,340,800,0,74,8.841963756,416.3856545,19.75238801,19.75238801,0,0,0,4.982913086,0
Duck Lake,NA,6,5,45.10459806,-68.00659393,127,5,95,900,0,60,23.16296347,535.3529843,59.48366492,0,59.48366492,0,0,27.97304311,0
Duck Lake,NA,6,6,45.1026667,-68.00498776,127,3,319,900,0,60,20.72258316,416.3856545,0,0,59.48366492,0,0,0,0
Rocky Lake,NA,2,1,44.83331425,-67.50162343,24,0,0,900,5,84,9.924334748,356.9019895,0,0,118.9673298,0,0,50.82571347,0
Rocky Lake,NA,2,2,44.83144801,-67.50003984,24,6,139,500,5,61,16.12082458,535.3529843,0,0,178.4509948,0,0,11.17718952,0
Rocky Lake,NA,2,3,44.82958992,-67.49839289,18,0,0,120,0,160,46.90191762,773.287644,0,0,118.9673298,0,0,42.71559286,0
Rocky Lake,NA,2,4,44.82773514,-67.49699895,18,9,266,120,0,100,23.74114991,713.8039791,0,0,118.9673298,0,0,78.14582315,0
Deboullie,NA,4,1,46.96044469,-68.85999254,359,0,0,120,5,71,11.46935767,237.9346597,0,0,297.4183246,0,0,111.7203479,0
Deboullie,NA,4,2,46.95853517,-68.85855176,444,40,35,120,0,78,25.499302,475.8693194,59.48366492,0,178.4509948,0,0,79.17677068,0
Deboullie,NA,4,3,46.95651799,-68.85738736,443,12,183,120,0,50,7.58239002,237.9346597,9.876194003,9.876194003,297.4183246,0,0,98.08744132,0
Deboullie,NA,4,4,46.95465372,-68.85618322,471,20,332,800,5,74,18.93747458,475.8693194,0,0,237.9346597,0,0,70.10443238,0
